author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability
michael-kutsch,1,0,0.0,,1,0,1.0,
miles-kt-inkeep,1,0,0.0,,1,1,1.0,
mircoboettcher,5,2,0.4,8.60666087962963,5,1,1.0,18.84790872318807
mixelburg,1,0,0.0,,1,1,1.0,
mp-hog,59,57,0.9661016949152542,0.3753472222222222,39,24,1.0,6.0229886555272785
naaa760,2,0,0.0,,2,0,1.0,
nickbest-ph,64,50,0.78125,0.14353587962962963,38,30,0.96875,2.7877826856162127
nicowaltz,5,5,1.0,0.8323958333333333,5,5,0.8,0.7091345504543896
nielskaspers,1,0,0.0,,1,0,1.0,
odin-posthog,32,22,0.6875,0.11090277777777777,22,0,0.9375,2.9667191780164974
okxint,1,0,0.0,,1,1,1.0,
oliverb123,68,55,0.8088235294117647,0.20528935185185185,37,29,0.9705882352941176,11.401051452782065
ordehi,42,35,0.8333333333333334,0.872037037037037,28,5,1.0,79.35176837445609
orian,41,32,0.7804878048780488,0.2885763888888889,31,12,1.0,6.651405632974417
orlandohohmeier,1,1,1.0,0.36144675925925923,1,1,1.0,0.0
parinporecha,3,2,0.6666666666666666,10.300636574074074,1,3,1.0,44.264226273282105
patricio-posthog,23,21,0.9130434782608695,0.9503703703703704,19,17,1.0,7.023358698415566
pauldambra,269,214,0.7955390334572491,0.41036458333333337,78,117,0.966542750929368,19.798589437558974
pawel-cebula,23,22,0.9565217391304348,0.20874421296296297,20,8,1.0,32.39607329684507
phillram,1,0,0.0,,1,0,1.0,
pierreeurope,1,0,0.0,,1,0,1.0,
pl,74,59,0.7972972972972973,0.2064236111111111,43,21,0.9324324324324325,30.27379864796617
posthog-bot,13,5,0.38461538461538464,0.2641203703703704,4,0,1.0,1081.9894179055427
rafaeelaudibert,165,150,0.9090909090909091,0.9821122685185185,62,56,0.9878787878787879,10.153008945906452
ragini-pandey,1,0,0.0,,1,0,1.0,
rainsubtime,2,0,0.0,,2,2,1.0,
