author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability,median_time_to_merge_inv,activity_score,merge_rate_norm,total_prs_merged_norm,median_time_to_merge_inv_norm,product_impact_ratio_norm,activity_score_norm,days_active_norm,recent_prs_norm,stability_norm,impact_score
bbloomf,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
bciaraldi,16,12,0.75,0.1650694444444444,16,2,1.0,12.190653952707793,6.058056373580144,72.69667648296173,0.75,0.053811659192825115,0.11307325316040583,1.0,0.03393185343938281,0.19480519480519481,0.017094017094017096,0.011266888336399638,0.25293385223446707
beatlevic,3,2,0.6666666666666666,3.4941030092592595,3,2,1.0,6.426313021134742,0.28619648514941676,0.5723929702988335,0.6666666666666666,0.008968609865470852,0.005164858950629301,1.0,0.0002625680092297705,0.025974025974025976,0.017094017094017096,0.005939349234648205,0.1756928009588571
benjackwhite,63,42,0.6666666666666666,0.8942650462962962,31,25,0.984126984126984,305.19535830746264,1.1182367063787382,46.965941667907,0.6666666666666666,0.18834080717488788,0.020720351621331342,0.984126984126984,0.021920150686542978,0.38961038961038963,0.21367521367521367,0.2820687090436092,0.3164948491393512
bens27,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
bill-ph,1,1,1.0,5.812048611111111,1,0,1.0,0.0,0.17205637235866586,0.17205637235866586,1.0,0.004484304932735426,0.00303094085070096,1.0,7.568161635742537e-05,0.0,0.0,0.0,0.25150304915668725
bs1180,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
buildwithmalik,3,3,1.0,15.994293981481482,3,0,1.0,79.46127343976244,0.06252229708656226,0.18756689125968679,1.0,0.013452914798206279,0.0009831353941691565,1.0,8.292228569394043e-05,0.025974025974025976,0.0,0.07343997281746001,0.264127311216325
caiquejjx,1,1,1.0,2.4122800925925927,1,0,1.0,0.0,0.41454555922867653,0.41454555922867653,1.0,0.004484304932735426,0.007564422133021474,1.0,0.00018888118311663864,0.0,0.0,0.0,0.25240974541315137
camerondeleone,2,0,0.0,,2,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.008547008547008548,0.0,0.002802752802752803
carlos-marchal-ph,57,43,0.7543859649122807,0.6680671296296297,30,28,0.8596491228070176,3.5066902558206423,1.4968555638329204,64.36478924481558,0.7543859649122807,0.19282511210762332,0.027798859020188037,0.8596491228070176,0.030042335569250494,0.37662337662337664,0.23931623931623933,0.003240965390039309,0.31347051241776686
carlosbaraza,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
carlosguso,1,1,1.0,0.3723148148148148,1,0,1.0,0.0,2.685899030092017,2.685899030092017,1.0,0.004484304932735426,0.050028742206858816,1.0,0.0012492015717391457,0.0,0.0,0.0,0.2609026094279188
cat-ph,2,1,0.5,0.287037037037037,2,2,1.0,0.0,3.4838709677419364,3.4838709677419364,0.5,0.004484304932735426,0.06494730781321799,1.0,0.0016217133475999118,0.012987012987012988,0.017094017094017096,0.0,0.14254377620664435
